Mar;Tipo de gasto;R3
VEHICULOS DE TRABAJO S.A;Gasto proveedor;C8005
DERCO S.P.A;Gasto proveedor;D009
DERCO S.P.A;Gasto proveedor;D001
IMPORTADORA Y DISTRIB. ALAMEDA SPA;Gasto proveedor;
Csav Agenciamiento Maritimo Spa;Almacen;
SOUTHBRIDGE COMPAÑÍA DE SEGUROS GEN;Sure;
Servicio Nacional De Aduanas;Derechos;10000788
CHARTER LINK LOGISTICS CHILE SPA;Freight;
American Container Line S.A.;Freight;
COSCO CHILE S.A.;Freight;
TNT Mercurio Cargas e Encomendas;Freight;
Cargo Services Far East Ltd.;Gasto EXW;
SOUTH CARGO CHILE;Freight;
Msl Chile Sa;Freight;
Changzhou Kyang Yang Motor Co., Ltd;Gasto proveedor;
Chongqing Zongshen Group I/E Corp.;Gasto proveedor;
Eicher Motors Limited;Gasto proveedor;
Great Neck Saw Mfrs.;Gasto proveedor;
Hk Sutongjie Co., Limited;Gasto proveedor;
Jiangmen Dachangjiang Group;Gasto proveedor;
Kwang Yang Motor Co., Ltd.;Gasto proveedor;
OCEAN NETWORK EXPRESS (CHILE) SPA;Freight;
Shanghai Jianliang International Fr;Gasto proveedor;40003759
Suzuki Motor De Colombia S.A.;Gasto proveedor;
Suzuki Motorcycle India Pvt. Ltd.;Gasto proveedor;
Vietnam Suzuki Corporation;Gasto proveedor;
Agco International Parts Division;Gasto proveedor;40000226
Martin Bobillier Campos Transp De C;Freight;
Transportes Entre Rios SA;Freight;
EVENGREEN SHIPPING AGENCY (CHILE)SP;Freight;
CENTAURI LOGISTICS SPA;Freight;
BON VOYAGE LOGISTICS CHILE SPA;Freight;
YUCHENG TIANMING MACHINERY CO., LTD;Gasto proveedor;
TYC BROTHER INDUSTRIAL CO., LTD.;Gasto proveedor;
ASG OPERATIONS MEXICO S DE RL DE CV;Gasto proveedor;
Chongqing Hankook Tire Co., Ltd;Gasto proveedor;
Fram Group Operation LLC.;Gasto proveedor;
MAQUINAS AGRICOLAS JACTO S.A.;Gasto proveedor;40000233
NINGBO HUAXUN CLEAN MACHINERY CO;Gasto proveedor;
NINGBO HUAXUN CLEAN MACHINERY CO;Gasto proveedor;
Exporplás - Industria de Exportação;Gasto proveedor;
PIMA MAKINA GIDA TURIZM T;Gasto proveedor;
TURTLE WAX INC.;Gasto proveedor;
GUANGZHOU PRODIGY DAILY-PRODUCTION;Gasto proveedor;
Tecnomec Agrícola, SA de CV (Bison);Gasto proveedor;
TOTAL TRADE LOGISTICS SPA;Freight;
ZLogistik SpA;Freight;
Kuehne  Nagel Ltda;Freight;10002755
Hapag-Lloyd Chile Spa;Freight;10077548
Transporte Santa Cruz S.R.L.;Freight;
Interman Corporation Ltd.;Freight;40000565
Electronica Casa Royal Limitada;Gasto proveedor;
Seminarium Chile S.P.A;Gasto proveedor;
SEGUROS GENERALES SURAMERICANA SA;Sure;
SACO SHIPPING SPA.;Freight;
Bci Seguros Generales S.A;Sure;10004479
;Freight;
;Freight;
;Freight;
;Freight;10001924
HAPAG LLOYD AGENCIA;Freight;10006219
;Freight;10035275
;Freight;10008595
;Gasto proveedor;40002445
;Sure;40000921
;Freight;10002613
